0No10(L) ctx14day.tif.png_change.pngcolor_change.png,[3 4 4 4 4 4 3 3 4 3 3 3 3 3 3 3 4 4 3 3 4 4 4 4 3 4 4 4 4 4 4 4 3 4 3 2],"[0.93489945 0.912042   0.893859   0.88650346 0.8744845  0.85896426
 0.8523993  0.8211393  0.7889438  0.7843713  0.76645935 0.73838294
 0.7335141  0.7186675  0.71061087 0.70504284 0.6794279  0.6539416
 0.6534521  0.61429656 0.595081   0.5596151  0.52533764 0.5131749
 0.5075855  0.4772814  0.46784252 0.4574162  0.45636687 0.45129693
 0.44800505 0.40729678 0.35578597 0.33351836 0.33017027 0.30600548]"
0No10(L) ctx14day.tif_changecolor_change_180.png,[3 3 4 4 3 4 4 3 4 3 4 4 4 4 3 4 4 4 4 3 4 4 4 3 3 3 3 3 2 4 4 4 2 3],"[0.9524492  0.8657052  0.8495256  0.844797   0.8278968  0.8083449
 0.8054068  0.7949537  0.7847341  0.77608085 0.7123021  0.70321214
 0.6997552  0.69176626 0.61807734 0.6141412  0.6074324  0.6043882
 0.6005379  0.600344   0.5531697  0.51137173 0.48312345 0.47935855
 0.46848887 0.4607114  0.43965542 0.42304456 0.39534473 0.39273572
 0.39168376 0.35046822 0.3439045  0.30797616]"
0No10(L) ctx14day.tif_changecolor_change_180_mirror.png,"[4 3 3 3 3 4 3 3 4 3 3 3 4 3 3 3 4 3 3 3 4 3 1 3 4 3 4 4 4 4 2 3 3 4 3 3 2
 3]","[0.9748011  0.9556485  0.9408264  0.90363216 0.87063515 0.7962583
 0.7739209  0.73074734 0.72686034 0.7219056  0.7104119  0.7101376
 0.6979403  0.68269974 0.601156   0.6009576  0.5905363  0.58898956
 0.535919   0.53090465 0.5272552  0.49940062 0.49692866 0.48365897
 0.47819284 0.4634961  0.44794112 0.44436246 0.43743733 0.42255524
 0.40426382 0.40053362 0.38725528 0.38132298 0.36707148 0.36249048
 0.35664093 0.33225802]"
0No10(L) ctx14day.tif_changecolor_change_270_mirror.png,"[3 3 3 3 4 3 4 4 3 3 3 4 4 3 3 3 3 3 4 3 4 3 4 3 4 3 2 4 3 4 3 3 3 3 3 3 3
 3 3 4 3]","[0.99126524 0.9636489  0.9291498  0.8961159  0.88300663 0.8746832
 0.84888107 0.8462038  0.8224364  0.81480813 0.80355114 0.78408384
 0.7669287  0.765827   0.7649299  0.7389918  0.72791296 0.6947607
 0.692652   0.6667791  0.652398   0.6339884  0.6319423  0.6273992
 0.61226296 0.6095434  0.60907763 0.5967865  0.59625787 0.5926017
 0.535433   0.5101199  0.49892685 0.49368763 0.4803526  0.47902083
 0.45117566 0.42826036 0.42777732 0.40236452 0.37698945]"
0No10(L) ctx14day.tif_changecolor_change_270.png,[3 4 3 4 3 3 4 3 4 3 3 4 1 4 4 4 4 4 4 2 3 3 4 4 3 4 4 4 2 4 3 4 2],"[0.96157247 0.8508071  0.8492287  0.8301892  0.8291638  0.81477106
 0.8023701  0.7838379  0.76259613 0.7430795  0.71934825 0.70925766
 0.67624557 0.6580813  0.6022762  0.60151976 0.5997086  0.5748228
 0.56653726 0.55785906 0.5433651  0.53989184 0.5117008  0.49091816
 0.46978417 0.46417338 0.44825053 0.42555213 0.42476055 0.41308624
 0.36347574 0.3346268  0.32894674]"
0No10(L) ctx14day.tif_changecolor_change_90.png,"[3 3 3 3 3 3 3 3 3 3 4 4 3 4 3 4 3 3 4 3 3 3 3 4 3 3 4 4 3 3 4 3 4 4 4 3 4
 4 4 4 4 4 3 3 4 3 3 2]","[0.99138767 0.9385603  0.93705225 0.9367376  0.9224383  0.916062
 0.88804835 0.8712154  0.86545736 0.8397621  0.8375942  0.8175456
 0.7912513  0.76914513 0.7669972  0.75530636 0.73600364 0.6946588
 0.6835947  0.659765   0.6481013  0.6402454  0.63851124 0.63509387
 0.62123597 0.6152106  0.5948848  0.5940738  0.5801708  0.5655141
 0.547281   0.5353202  0.5218906  0.52013844 0.52000475 0.5174662
 0.5029362  0.482393   0.47336996 0.4703283  0.4530966  0.45281345
 0.45155886 0.43700212 0.43130624 0.38056123 0.37638667 0.36681753]"
0No10(L) ctx14day.tif_changecolor_change_90_mirror.png,[4 3 4 4 4 4 3 4 4 4 3 3 4 4 4 3 4 4 3 4 4 3 4 4 4 4 4 4 4 4 2 2],"[0.96950376 0.94642353 0.9384965  0.9029825  0.9023907  0.86601293
 0.8231634  0.8095849  0.7890915  0.7819217  0.7791178  0.77584416
 0.7558022  0.7527328  0.7289733  0.7095851  0.70657104 0.6972164
 0.68632144 0.665189   0.61623764 0.59139764 0.59048724 0.5160022
 0.51303226 0.5120612  0.49679694 0.4936609  0.4895322  0.47834155
 0.39634734 0.34603113]"
0No10(L) ctx14day.tif_changecolor_change_mirror.png,"[3 3 4 3 4 3 3 4 3 4 3 4 4 4 4 3 3 4 3 3 1 3 4 3 3 3 3 4 3 3 3 3 3 4 4 2 3
 3 3 4 4 3 4 2 1]","[0.9667208  0.92802167 0.9085159  0.8957276  0.8947133  0.8584848
 0.8412836  0.8177631  0.7992691  0.78833735 0.7746631  0.7507573
 0.73975044 0.682971   0.6817109  0.6756629  0.64573115 0.642826
 0.64219594 0.63951236 0.6371648  0.63695836 0.6091913  0.5867678
 0.58032626 0.57726854 0.57216126 0.5643781  0.56077266 0.55590564
 0.5423884  0.5389349  0.52002    0.5196405  0.5191167  0.47305086
 0.4721649  0.46157384 0.44796607 0.39513385 0.373529   0.36603287
 0.34714568 0.33275145 0.33068874]"
107day_No1R_220424.tif.png,"[3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
 3 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
 4 3 3 3 3 3 3 3 4 3 3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3]","[0.99175173 0.99150556 0.984269   0.98131347 0.98099375 0.97406614
 0.972221   0.97211605 0.9693897  0.96821576 0.966783   0.96582884
 0.96164775 0.96080416 0.9607225  0.96044165 0.9544885  0.9499324
 0.94863373 0.9442469  0.9409555  0.9401054  0.938286   0.937167
 0.93336505 0.93121547 0.9296802  0.9233759  0.9227139  0.9198355
 0.9165195  0.9097286  0.9035493  0.8979447  0.88445276 0.8828379
 0.8676342  0.8613093  0.86072934 0.8532545  0.8484116  0.8451288
 0.84482473 0.84275824 0.84090316 0.8400275  0.83261245 0.82065624
 0.8092943  0.807191   0.799439   0.78618646 0.7829743  0.78262097
 0.78103447 0.7755006  0.7644268  0.75922847 0.74485993 0.7435231
 0.73970544 0.7231981  0.71562815 0.70683426 0.70139545 0.6950833
 0.68573904 0.67584753 0.67330515 0.66827935 0.66348904 0.6617001
 0.6560191  0.64407057 0.6326049  0.6307669  0.6198482  0.60231316
 0.601594   0.58864176 0.58027136 0.5763719  0.57471216 0.55613047
 0.55517226 0.5545854  0.5431552  0.53621066 0.5298196  0.5275301
 0.52048    0.5181551  0.51736355 0.5128944  0.5078117  0.49891606
 0.49259037 0.4539037  0.45279267 0.4241816 ]"
107day_No1R_220424.tif_180.png,"[3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 3 3 3 3
 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3]","[0.99108773 0.99030745 0.988112   0.98402554 0.979356   0.9745286
 0.9687801  0.96826375 0.9668511  0.9657956  0.95954126 0.9529231
 0.9506989  0.9447877  0.9394269  0.93718743 0.93661743 0.9359086
 0.9349822  0.926949   0.926083   0.92428154 0.920841   0.9177253
 0.9168688  0.9089997  0.90874356 0.90556717 0.9051703  0.9019125
 0.9004175  0.89332676 0.8911764  0.8839989  0.88386416 0.8817354
 0.8800896  0.8724582  0.8687328  0.8658593  0.8651312  0.8642624
 0.86280954 0.85379523 0.84952325 0.84834874 0.84468335 0.83875984
 0.8347357  0.82939476 0.82835895 0.82701474 0.8056577  0.8050684
 0.8036033  0.7982271  0.792445   0.7889671  0.7882304  0.78821105
 0.7861205  0.7818272  0.7800885  0.7691079  0.7457693  0.74173623
 0.732482   0.7242197  0.7128512  0.7091213  0.7082448  0.6980893
 0.68687236 0.6866105  0.6850028  0.68288904 0.65983063 0.652033
 0.65050155 0.64511764 0.61684024 0.6049691  0.60275245 0.6015431
 0.5999917  0.5988402  0.59597325 0.5937395  0.5909658  0.58639836
 0.58547866 0.58488464 0.5748747  0.5687963  0.5687894  0.56750464
 0.56481135 0.552539   0.5394574  0.52351236]"
107day_No1R_220424.tif_180_mirror.png,"[3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 3 3 3
 3 3 3 3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 3 3 3 3 3 3 3 3]","[0.98864645 0.98571616 0.97871083 0.9767914  0.97515434 0.97422
 0.9728441  0.9722334  0.97206926 0.9720346  0.9706392  0.9675703
 0.96439934 0.95979005 0.9580499  0.9563134  0.9533843  0.9484407
 0.946103   0.94433445 0.9417262  0.9391005  0.93534    0.93505776
 0.93136996 0.9269169  0.9217396  0.9205853  0.91660964 0.9165762
 0.9164326  0.9150358  0.9120805  0.9084375  0.9076533  0.90525454
 0.8982198  0.8862443  0.88137305 0.87483263 0.8699747  0.8674813
 0.86500746 0.8643788  0.8627799  0.8522507  0.8475868  0.8457443
 0.8429082  0.84171015 0.841179   0.8360652  0.8210952  0.81755835
 0.7992798  0.7934026  0.7921833  0.7909736  0.79068613 0.787687
 0.7811235  0.7720391  0.7606754  0.75817347 0.74763036 0.73017013
 0.7271192  0.7223755  0.7163947  0.71617293 0.7148285  0.7121925
 0.7070955  0.70706356 0.7014153  0.6993652  0.674022   0.6563042
 0.6315345  0.62028223 0.6186551  0.6184851  0.6176169  0.61745113
 0.61730105 0.6109224  0.57448673 0.57106346 0.56409484 0.5608631
 0.5568644  0.54539603 0.53512204 0.5318689  0.52104163 0.515924
 0.5147931  0.5039063  0.50243056 0.5019129 ]"
